Polymer Name,LPP_dimer,Dipole_gas,BETA,LL_embd
TT_DPP(b12_2_8x2)_TT',19.825,0.011280052,0.135435407,21.893
T_DPP(a16x2)_T_BTZ(b9_1_8),26.68,0.747180382,0.122098972,17.265
T_DPP(b12_2_8x2)_T_TT,19.366,0.656767237,0.102551571,17.561
TIG(b12_2_8x2)_TFF,49.123,0.802778514,0.213257941,25.767
CPDT(a16x2)_BFF,17.221,0.57634533,0.24879871,23.426
DPP(b12_2_8x2)_T,21.97,0.591884622,0.362400489,20.568
DPP(b12_2_8x2)_T_T,22.934,0.747834419,0.211987319,19.792
DPP(b12_2_8x2)_T_T_T,18.048,1.199557219,0.120179317,19.203
IDT(a16x4)_BT,35.046,0.492609285,0.153671569,31.294
TIG(b12_2_8x2)_T,30.532,0.694860979,0.222817871,23.848
TIG(b12_2_8x2)_BT,45.501,0.762645792,0.217619024,26.569
AIG(b12_2_8x2)_BT,32.808,1.100519733,0.130825542,22.828
TIF(a16x4)_BT,43.529,0.991553542,0.082345671,28.036
T_DPP(b12_2_8x2)_T_T_DPP(b12_2_8x2)_T,26.978,0.008084718,0.067850008,18.146
NDI(b12_2_8x2)_T_BT_T,7.175,0.213080655,0.055291315,9.396
NDTI-b14_2_10x2_T_T,4.57,0.02072957,0.086073145,14.244
NDTI-b14_2_10x2_T,7.175,0.416757192,0.07902723,9.583
NDTI-b14_2_10x2_T_T_T,4.57,0.410949905,0.037295318,7.262
CPDT(a16x2)_BT,26.661,0.916017752,0.285921912,25.897
FL(a8x2)_BT,9.052,1.23105439,0.15456835,17.319
IDT(a16x4)_BO,40.352,0.846318019,0.162937292,27.851
IDT(a16x4)_lBTF,39.049,0.367524922,0.164813372,31.373
IDT(a16x4)_lBTFF,48.651,0.773802372,0.155154503,29.588
IDT(a16x4)_BPD(a1),15.233,0.776823513,0.110586952,22.462
IDT(a16x4)_BPDF(a1),12.682,0.643492034,0.108214229,19.336
IDT(a16x4)_BPDFF(a1),33.106,0.419790613,0.129155892,23.116
TIF(a16x4)_BTF,43.335,0.830945283,0.083612703,26.07
TIF(a16x4)_BTFF,53.064,0.496740753,0.085033823,27.668
TIF(a16x4)_BPD(a1),17.418,1.338567876,0.066666862,17.947
TIF(a16x4)_BPDF(a1),17.418,1.240103159,0.059491351,15.31
TIF(a16x4)_BPDFF(a1),17.418,0.100839864,0.053452772,17.371
TIF(a16x4)_BO,43.15,0.930785598,0.085083423,27.957
T_DPP(b12_2_8x2)_T_TTF,20.79,0.365415263,0.105704816,17.894
T_DPP(b12_2_8x2)_T_TTFF,23.229,1.580036153,0.106020623,15.854
T_DPP(b12_2_8x2)_T_TVT,25.504,0.369873727,0.072861404,20.527
T_DPP(b12_2_8x2)_T_TVTFF,29.872,2.125530961,0.068806452,14.349
T_DPP(b12_2_8x2)_T_BFF,20.061,0.568219092,0.092132225,13.934
T_DPP(b12_2_8x2)_T_BFFFF,24.353,0.796789811,0.093305943,14.148
T_DPP(a16x2)_T_BTZFF(b9_1_8),46.752,0.653863556,0.111744302,17.239
TTF_DPP(b12_2_8x2)_TTF,11.181,1.350808436,0.12914125,16.825
TTFF_DPP(b12_2_8x2)_TTFF,6.771,0.147691331,0.038801123,12.847
TIG(b12_2_8x2)_BTF,62.469,0.632117607,0.217166264,27.633
TIG(b12_2_8x2)_BTFF,62.9,0.632117607,0.212251818,28.015
AIG(b12_2_8x2)_BTF,11.692,1.169395142,0.084970062,18.412
AIG(b12_2_8x2)_BTFF,11.692,2.772654319,0.085537361,12.565
IDTT(a16x4)_BT,45.638,0.524714855,0.100017752,32.359
IDTT(a16x4)_BO,48.607,1.028910587,0.114729011,29.535
IDTT(a16x4)_BTF,54.457,0.359661061,0.109146115,33.457
IDTT(a16x4)_BTFF,60.539,1.025581153,0.104142341,28.218
IDTT(a16x4)_BPD(a1),19.214,0.861409534,0.07761286,12.794
AIG(b12_2_8x2)_T,59.161,0.951672858,0.150085023,25.609
AIG(b12_2_8x2)_TFF,90.056,2.34073077,0.137071783,19.922
IG(b12_2_8x2)_T,24.567,0.783180524,0.118840916,23.239
IG(b12_2_8x2)_TFF,61.327,2.302426718,0.134599889,19.069
IG(b12_2_8x2)_BT,11.847,1.174639665,0.110020122,18.961
IG(b12_2_8x2)_BTF,11.847,1.208021768,0.094371763,13.658
IG(b12_2_8x2)_BTFF,11.847,2.396146568,0.063297651,11.258
IG(b12_2_8x2)_DTP(a6),34.923,1.888873481,0.09784829,25.028
AIG(b12_2_8x2)_DTP(a6),71.124,1.854626137,0.121419926,29.044
TIG(b12_2_8x2)_DTP(a6),44.925,1.082023705,0.172390036,30.588
TTIG(b12_2_8x2)_T,47.618,0.857708992,0.125553628,26.668
TTIG(b12_2_8x2)_TFF,65.021,0.971222694,0.125094822,23.425
TTIG(b12_2_8x2)_BT,154.014,0.901782845,0.134826065,30.254
TTIG(b12_2_8x2)_BTF,117.074,0.623472706,0.128349227,30.286
TTIG(b12_2_8x2)_BTFF,132.493,0.651950987,0.1467115,35.04
TTIG(b12_2_8x2)_DTP(a6),52.926,0.981888623,0.109683829,31.633
IGF(b12_2_8x2)_T,46.911,0.305690941,0.152642342,28.519
IGF(b12_2_8x2)_BT,11.851,0.499405448,0.101565972,16.009
IGF(b12_2_8x2)_TFF,93.495,1.595834978,0.132114503,19.962
IGF(b12_2_8x2)_BTF,11.851,0.513846223,0.042657828,10.589
IGF(b12_2_8x2)_BTFF,11.851,1.852450436,0.036215502,7.068
IGF(b12_2_8x2)_DTP(a6),48.669,1.105411886,0.117124583,28.164
BDON(b22_4_18x2)_T,88.628,1.308955321,0.080532441,21.096
BDON(b22_4_18x2)_TFF,88.5,3.21652413,0.077524157,17.619
BDON(b22_4_18x2)_BT,86.047,1.182104064,0.07464357,25.912
BDON(b22_4_18x2)_BTF,36.151,1.417183764,0.05791252,22.674
BDON(b22_4_18x2)_BTFF,20.433,3.654882655,0.054045039,14.682
BDON(b22_4_18x2)_DTP(a6)',106.099,2.296243922,0.06822199,18.727
DPP(b12_2_8x2)_FU_FU,31.22,1.671531674,0.234720283,18.527
NDI(b14_2_10x2)_TVT,7.175,0.122030447,0.070462045,14.667
NDTI(b14_2_10x2)_BT,11.609,1.199400693,0.146036434,15.648
NDTI(b14_2_10x2)_T_T,31.143,1.259965185,0.093024842,18.877
AIG(b12_2_8x2)_FU,73.158,0.38376386,0.156290238,26.913
IG(b12_2_8x2)_FU,59.117,0.453370158,0.153071207,23.374
BNT_DPP(b12_2_8x2)_BNT_TFF,34.131,1.024954119,0.062294911,10.517
BN_DPP(b12_2_8x2)_BN_TFF,4.896,2.886795505,0.057696483,5.948
BN_DPP(b12_2_8x2)_BN_BTT,8.029,2.518691907,0.049889185,12.02
BN_DPP(b12_2_8x2)_BN_T_T,11.944,1.93180099,0.046126218,10.658
NDTI(b14_2_10x2)_T,36.534,0.949811062,0.147754939,21.138
NDTI(b14_2_10x2)_T_T_T,27.031,1.852361806,0.056417243,12.317
TTIG(b12_2_8x2)_FU,48.074,1.703979658,0.141210943,22.217
TIG(b12_2_8x2)_FU,35.203,1.429899029,0.249592402,20.982
FU_DPP(a18x2)_FU_BTZ_b9_1_8,30.154,0.480247018,0.134784901,19.81
DPP(b12_2_8x2)_FU,13.688,1.019756671,0.381620263,14.924
DPP(b12_2_8x2)_FU_FU,14.912,1.671531674,0.228077368,17.233
DPP(b12_2_8x2)_FU_FU_FU,19.803,2.440920118,0.136038513,16.382
FU_DPP(b12_2_8x2)_FU_BTT,21.539,1.812569794,0.111070945,16.909
FU_DPP(b12_2_8x2)_FU_BFF,22.227,0.632973441,0.107755897,15.326
FU_DPP(b12_2_8x2)_FU_TVT,27.502,0.854386491,0.078082162,19.279
IGF(b12_2_8x2)_FU,42.604,0.971621598,0.156905322,22.133
NDI(b12_2_8x2)_FU_FU_FU,10.638,0.475714155,0.064193088,6.204
NDI(b12_2_8x2)_FU_FU,4.101,0.020043978,0.108520784,10.279
NDTI(b12_2_8x2)_FU_FU_FU,23.518,0.498505085,0.056623921,12.134
NDTI(b12_2_8x2)_FU_FU,25.392,0.021293538,0.097117272,15.925
NDTI(b12_2_8x2)_FU,28.452,1.45346026,0.146796314,15.219
