Polymer,LL(iso),LL(embd),W_B(embd),W_T(embd)
TT_DPP(b12_2_8x2)_TT',26.14,21.89,0.30,0.11
T_DPP(a16x2)_T_BTZ(b9_1_8)',23.14,17.26,0.35,0.14
T_DPP(b12_2_8x2)_T_TT',22.07,17.56,0.33,0.13
TIG(b12_2_8x2)_TFF',31.47,25.77,0.41,0.10
CPDT(a16x2)_BFF',27.19,23.43,0.48,0.11
DPP(b12_2_8x2)_T',25.24,20.57,0.46,0.10
DPP(b12_2_8x2)_T_T',23.89,19.79,0.40,0.13
DPP(b12_2_8x2)_T_T_T',24.08,19.20,0.38,0.14
IDT(a16x4)_BT',34.87,31.29,0.36,0.08
TIG(b12_2_8x2)_T',27.79,23.85,0.42,0.12
TIG(b12_2_8x2)_BT',34.95,26.57,0.39,0.11
AIG(b12_2_8x2)_BT',31.11,22.83,0.36,0.13
TIF(a16x4)_BT',37.06,28.04,0.30,0.11
T_DPP(b12_2_8x2)_T_T_DPP(b12_2_8x2)_T',24.57,18.15,0.28,0.12
NDI(b12_2_8x2)_T_BT_T',10.28,9.40,0.24,0.12
NDI(b12_2_8x2)_T_T',16.21,14.24,0.24,0.09
NDI(b12_2_8x2)_T',11.44,9.58,0.32,0.13
NDI(b12_2_8x2)_T_T_T',10.38,7.26,0.26,0.12
CPDT(b6_2_2x2)_BT',29.75,25.90,0.52,0.09
FL(a8x2)_BT',24.30,17.32,0.48,0.16
IDT(a16x4)_BO',34.50,27.85,0.40,0.11
IDT(a16x4)_BTF',34.82,31.37,0.33,0.07
IDT(a16x4)_BTFF',35.51,29.59,0.35,0.09
IDT(a16x4)_BPD(a1)',27.00,22.46,0.33,0.12
IDT(a16x4)_BPDF(a1)',22.64,19.34,0.30,0.11
IDT(a16x4)_BPDFF(a1)',27.67,23.12,0.29,0.09
TIF(a16x4)_BTF',31.10,26.07,0.28,0.09
TIF(a16x4)_BTFF',33.07,27.67,0.26,0.08
TIF(a16x4)_BPD(a1)',25.09,17.95,0.31,0.11
TIF(a16x4)_BPDF(a1)',20.90,15.31,0.29,0.11
TIF(a16x4)_BPDFF(a1)',23.12,17.37,0.18,0.08
TIF(a16x4)_BO',38.09,27.96,0.31,0.10
T_DPP(b12_2_8x2)_T_TTF',21.80,17.89,0.30,0.11
T_DPP(b12_2_8x2)_T_TTFF',21.26,15.85,0.40,0.17
T_DPP(b12_2_8x2)_T_TVT',25.94,20.53,0.30,0.10
T_DPP(b12_2_8x2)_T_TVTFF',21.74,14.35,0.43,0.17
T_DPP(b12_2_8x2)_T_BFF',17.93,13.93,0.29,0.13
T_DPP(b12_2_8x2)_T_BFFFF',17.63,14.15,0.31,0.11
T_DPP(a16x2)_T_BTZFF(b9_1_8)',22.52,17.24,0.32,0.13
T_DPP(b12_2_8x2)_T_TTF',20.89,16.82,0.39,0.15
T_DPP(b12_2_8x2)_T_TTFF',14.99,12.85,0.27,0.12
TIG(b12_2_8x2)_BTF',33.79,27.63,0.37,0.10
TIG(b12_2_8x2)_BTFF',32.88,28.01,0.38,0.11
AIG(b12_2_8x2)_BTF',25.65,18.41,0.39,0.13
AIG(b12_2_8x2)_BTF',20.94,12.57,0.52,0.18
IDTT(a16x4)_BT',38.63,32.36,0.29,0.09
IDTT(a16x4)_BO',38.24,29.53,0.35,0.11
IDTT(a16x4)_lBTF',37.36,33.46,0.26,0.07
IDTT(a16x4)_BTFF',37.99,28.22,0.32,0.10
IDTT(a16x4)_BPD(a1)',27.10,12.79,0.45,0.13
AIG(b12_2_8x2)_T',31.39,25.61,0.39,0.11
AIG(b12_2_8x2)_TFF',28.99,19.92,0.44,0.16
IG(b12_2_8x2)_T',29.27,23.24,0.36,0.10
IG(b12_2_8x2)_TFF',29.77,19.07,0.42,0.15
IG(b12_2_8x2)_BT,23.48,18.96,0.37,0.16
IG(b12_2_8x2)_BTF',20.73,13.66,0.34,0.13
IG(b12_2_8x2)_BTFF',19.10,11.26,0.41,0.19
IGF(b12_2_8x2)_DTP(a6)',36.49,25.03,0.41,0.13
AIG(b12_2_8x2)_DTP(a6)',37.12,29.04,0.39,0.12
TIG(b12_2_8x2)_DTP(a6',39.30,30.59,0.41,0.11
TIG(b12_2_8x2)_T',32.75,26.67,0.33,0.09
TIG(b12_2_8x2)_TFF',31.98,23.42,0.34,0.09
TIG(b12_2_8x2)_BT',40.51,30.25,0.29,0.08
TIG(b12_2_8x2)_BTF',33.80,30.29,0.28,0.09
TIG(b12_2_8x2)_BTFF',41.21,35.04,0.31,0.08
TTIG(b12_2_8x2)_DTP(a6',41.03,31.63,0.31,0.09
IGF(b12_2_8x2)_T',33.74,28.52,0.31,0.09
IGF(b12_2_8x2)_BT',19.57,16.01,0.22,0.08
IGF(b12_2_8x2)_TFF',31.05,19.96,0.39,0.14
IGF(b12_2_8x2)_BTF',12.69,10.59,0.24,0.10
IGF(b12_2_8x2)_BTFF',11.11,7.07,0.34,0.16
IGF(b12_2_8x2)_DTP(a6)',38.44,28.16,0.36,0.11
BDON(b22_4_18x2)_T',31.76,21.10,0.32,0.12
BDON(b22_4_18x2)_TFF',20.93,17.62,0.56,0.22
BDON(b22_4_18x2)_BT',33.70,25.91,0.27,0.08
BDON(b22_4_18x2)_BTF',30.09,22.67,0.32,0.11
BDON(b22_4_18x2)_BTFF',23.58,14.68,0.42,0.16
BDON(b22_4_18x2)_DTP(a6)',32.53,18.73,0.43,0.17
DPP(a16x2)_FU_FU',24.83,18.53,0.54,0.17
NDI(b14_2_10x2)_TVT',18.06,14.67,0.26,0.10
NDTI(b14_2_10x2)_BT',20.37,15.65,0.30,0.12
NDTI(b14_2_10x2)_T_T',28.05,18.88,0.29,0.10
AIG(b12_2_8x2)_FU',30.80,26.91,0.35,0.11
IG(b12_2_8x2)_FU',27.02,23.37,0.35,0.10
BNT_DPP(b12_2_8x2)_BNT_TFF',13.23,10.52,0.35,0.15
BN_DPP(b12_2_8x2)_BN_TFF',7.95,5.95,0.51,0.21
BN_DPP(b12_2_8x2)_BN_BTT',17.15,12.02,0.48,0.18
BN_DPP(b12_2_8x2)_BN_T_T',13.20,10.66,0.40,0.19
NDTI(b14_2_10x2)_T',27.85,21.14,0.31,0.10
NDTI(b14_2_10x2)_T_T_T',22.05,12.32,0.33,0.14
TTIG(b12_2_8x2)_FU',29.30,22.22,0.38,0.13
TIG(b12_2_8x2)_FU',27.83,20.98,0.52,0.16
FU_DPP(a18x2)_FU_BTZ_b9_1_8',25.21,19.81,0.31,0.11
DPP(b12_2_8x2)_FU',16.90,14.92,0.57,0.18
DPP(b12_2_8x2)_FU_FU',22.99,17.23,0.52,0.20
DPP(b12_2_8x2)FU_FU_FU',23.05,16.38,0.47,0.18
FU_DPP(b12_2_8x2)_FU_BTT',21.78,16.91,0.42,0.17
FU_DPP(b12_2_8x2)_FU_BFF',18.99,15.33,0.31,0.12
FU_DPP(b12_2_8x2)_FU_TVT',28.11,19.28,0.33,0.12
IGF(b12_2_8x2)_FU',28.64,22.13,0.37,0.11
NDI(b12_2_8x2)_FU_FU_FU',8.43,6.20,0.32,0.13
NDI(b12_2_8x2)_FU_FU',12.14,10.28,0.29,0.11
NDTI(b12_2_8x2)_FU_FU_FU',16.81,12.13,0.22,0.09
NDTI(b12_2_8x2)_FU_FU',19.11,15.92,0.24,0.08
NDTI(b12_2_8x2)_FU',18.67,15.22,0.49,0.20
