Polymer,Lp,Lpp
TT_DPP(b12_2_8x2)_TT',76.41,21.06
T_DPP(a16x2)_T_BTZ(b9_1_8)',32.61,28.18
T_DPP(b12_2_8x2)_T_TT',30.83,16.53
TIG(b12_2_8x2)_TFF',32.89,40.89
CPDT(a16x2)_BFF',21.67,22.31
DPP(b12_2_8x2)_T',43.87,25.50
DPP(b12_2_8x2)_T_T',37.14,22.80
DPP(b12_2_8x2)_T_T_T',28.62,19.14
IDT(a16x4)_BT',105.58,34.57
TIG(b12_2_8x2)_T',22.52,23.29
TIG(b12_2_8x2)_BT',135.81,30.13
AIG(b12_2_8x2)_BT',181.71,32.36
TIF(a16x4)_BT',147.98,43.12
T_DPP(b12_2_8x2)_T_T_DPP(b12_2_8x2)_T',23.51,18.75
NDI(b12_2_8x2)_T_BT_T',22.37,7.17
NDI(b12_2_8x2)_T_T',20.20,5.50
NDI(b12_2_8x2)_T',51.58,7.17
NDI(b12_2_8x2)_T_T_T',18.24,4.57
CPDT(b6_2_2x2)_BT',39.03,26.78
FL(a8x2)_BT',62.21,9.05
IDT(a16x4)_BO',109.92,39.87
IDT(a16x4)_BTF',116.93,40.17
IDT(a16x4)_BTFF',120.21,48.97
IDT(a16x4)_BPD(a1)',205.97,14.28
IDT(a16x4)_BPDF(a1)',87.88,12.68
IDT(a16x4)_BPDFF(a1)',80.08,19.70
TIF(a16x4)_BTF',30.87,45.97
TIF(a16x4)_BTFF',196.17,56.71
TIF(a16x4)_BPD(a1)',63.19,17.42
TIF(a16x4)_BPDF(a1)',147.02,17.42
TIF(a16x4)_BPDFF(a1)',124.67,17.42
TIF(a16x4)_BO',129.20,44.57
T_DPP(b12_2_8x2)_T_TTF',30.84,19.78
T_DPP(b12_2_8x2)_T_TTFF',31.58,21.81
T_DPP(b12_2_8x2)_T_TVT',64.76,23.10
T_DPP(b12_2_8x2)_T_TVTFF',24.18,26.98
T_DPP(b12_2_8x2)_T_BFF',33.15,20.81
T_DPP(b12_2_8x2)_T_BFFFF',76.35,27.53
T_DPP(a16x2)_T_BTZFF(b9_1_8)',59.83,38.13
T_DPP(b12_2_8x2)_T_TTF',86.13,12.60
T_DPP(b12_2_8x2)_T_TTFF',40.06,6.77
TIG(b12_2_8x2)_BTF',122.87,43.65
TIG(b12_2_8x2)_BTFF',119.41,42.79
AIG(b12_2_8x2)_BTF',46.72,12.90
AIG(b12_2_8x2)_BTF',81.99,11.69
IDTT(a16x4)_BT',226.89,59.53
IDTT(a16x4)_BO',177.56,62.32
IDTT(a16x4)_lBTF',83.69,115.54
IDTT(a16x4)_BTFF',138.63,82.28
IDTT(a16x4)_BPD(a1)',243.72,20.39
AIG(b12_2_8x2)_T',58.74,64.14
AIG(b12_2_8x2)_TFF',87.84,130.12
IG(b12_2_8x2)_T',73.48,25.01
IG(b12_2_8x2)_TFF',19.46,81.03
IG(b12_2_8x2)_BT,176.22,11.85
IG(b12_2_8x2)_BTF',128.74,11.85
IG(b12_2_8x2)_BTFF',289.51,11.85
IGF(b12_2_8x2)_DTP(a6)',79.08,36.02
AIG(b12_2_8x2)_DTP(a6)',104.63,93.48
TIG(b12_2_8x2)_DTP(a6',63.63,45.62
TIG(b12_2_8x2)_T',26.22,44.22
TIG(b12_2_8x2)_TFF',95.22,65.38
TIG(b12_2_8x2)_BT',109.09,95.99
TIG(b12_2_8x2)_BTF',38.26,138.68
TIG(b12_2_8x2)_BTFF',30.50,198.25
TTIG(b12_2_8x2)_DTP(a6',54.63,79.46
IGF(b12_2_8x2)_T',118.78,63.48
IGF(b12_2_8x2)_BT',193.87,11.85
IGF(b12_2_8x2)_TFF',166.58,97.50
IGF(b12_2_8x2)_BTF',208.74,11.85
IGF(b12_2_8x2)_BTFF',22.69,11.85
IGF(b12_2_8x2)_DTP(a6)',262.95,40.06
BDON(b22_4_18x2)_T',115.41,197.64
BDON(b22_4_18x2)_TFF',32.98,83.29
BDON(b22_4_18x2)_BT',86.09,94.33
BDON(b22_4_18x2)_BTF',33.68,44.65
BDON(b22_4_18x2)_BTFF',84.23,20.22
BDON(b22_4_18x2)_DTP(a6)',55.59,200.49
DPP(a16x2)_FU_FU',34.47,26.12
NDI(b14_2_10x2)_TVT',104.44,7.17
NDTI(b14_2_10x2)_BT',42.67,11.61
NDTI(b14_2_10x2)_T_T',170.13,17.74
AIG(b12_2_8x2)_FU',80.52,66.76
IG(b12_2_8x2)_FU',30.53,49.06
BNT_DPP(b12_2_8x2)_BNT_TFF',13.59,44.91
BN_DPP(b12_2_8x2)_BN_TFF',17.11,4.90
BN_DPP(b12_2_8x2)_BN_BTT',19.56,20.14
BN_DPP(b12_2_8x2)_BN_T_T',25.71,4.90
NDTI(b14_2_10x2)_T',34.28,28.37
NDTI(b14_2_10x2)_T_T_T',29.09,29.17
TTIG(b12_2_8x2)_FU',22.32,86.11
TIG(b12_2_8x2)_FU',29.96,36.42
FU_DPP(a18x2)_FU_BTZ_b9_1_8',37.51,46.39
DPP(b12_2_8x2)_FU',12.93,14.72
DPP(b12_2_8x2)_FU_FU',22.94,18.61
DPP(b12_2_8x2)FU_FU_FU',21.83,22.33
FU_DPP(b12_2_8x2)_FU_BTT',26.04,24.25
FU_DPP(b12_2_8x2)_FU_BFF',29.73,21.16
FU_DPP(b12_2_8x2)_FU_TVT',50.28,35.15
IGF(b12_2_8x2)_FU',94.33,45.33
NDI(b12_2_8x2)_FU_FU_FU',10.89,10.82
NDI(b12_2_8x2)_FU_FU',11.56,10.22
NDTI(b12_2_8x2)_FU_FU_FU',16.50,64.20
NDTI(b12_2_8x2)_FU_FU',14.51,28.43
NDTI(b12_2_8x2)_FU',17.35,39.21
