Polymer,beta,sigma(alpha)(embd),sigma(alpha)(iso),mu
TT_DPP(b12_2_8x2)_TT',0.09,0.14,0.09,0.01
T_DPP(a16x2)_T_BTZ(b9_1_8)',0.07,0.19,0.09,0.75
T_DPP(b12_2_8x2)_T_TT',0.08,0.17,0.07,0.66
TIG(b12_2_8x2)_TFF',0.16,0.15,0.06,0.80
CPDT(a16x2)_BFF',0.17,0.17,0.07,0.58
DPP(b12_2_8x2)_T',0.20,0.15,0.08,0.59
DPP(b12_2_8x2)_T_T',0.12,0.19,0.07,0.75
DPP(b12_2_8x2)_T_T_T',0.08,0.20,0.06,1.20
IDT(a16x4)_BT',0.15,0.13,0.07,0.49
TIG(b12_2_8x2)_T',0.16,0.15,0.07,0.69
TIG(b12_2_8x2)_BT',0.14,0.17,0.10,0.76
AIG(b12_2_8x2)_BT',0.10,0.17,0.08,1.10
TIF(a16x4)_BT',0.08,0.13,0.07,0.99
T_DPP(b12_2_8x2)_T_T_DPP(b12_2_8x2)_T',0.05,0.15,0.07,0.01
NDI(b12_2_8x2)_T_BT_T',0.04,0.13,0.08,0.21
NDI(b12_2_8x2)_T_T',0.04,0.12,0.09,0.02
NDI(b12_2_8x2)_T',0.05,0.17,0.08,0.42
NDI(b12_2_8x2)_T_T_T',0.03,0.15,0.08,0.41
CPDT(b6_2_2x2)_BT',0.18,0.20,0.14,0.92
FL(a8x2)_BT',0.14,0.25,0.08,1.23
IDT(a16x4)_BO',0.13,0.15,0.08,0.85
IDT(a16x4)_BTF',0.14,0.09,0.06,0.37
IDT(a16x4)_BTFF',0.13,0.14,0.06,0.77
IDT(a16x4)_BPD(a1)',0.10,0.16,0.09,0.78
IDT(a16x4)_BPDF(a1)',0.07,0.15,0.11,0.64
IDT(a16x4)_BPDFF(a1)',0.09,0.14,0.09,0.42
TIF(a16x4)_BTF',0.08,0.14,0.08,0.83
TIF(a16x4)_BTFF',0.08,0.10,0.05,0.50
TIF(a16x4)_BPD(a1)',0.04,0.17,0.07,1.34
TIF(a16x4)_BPDF(a1)',0.05,0.16,0.08,1.24
TIF(a16x4)_BPDFF(a1)',0.04,0.10,0.05,0.10
TIF(a16x4)_BO',0.08,0.16,0.08,0.93
T_DPP(b12_2_8x2)_T_TTF',0.06,0.17,0.10,0.37
T_DPP(b12_2_8x2)_T_TTFF',0.07,0.22,0.09,1.58
T_DPP(b12_2_8x2)_T_TVT',0.06,0.16,0.09,0.37
T_DPP(b12_2_8x2)_T_TVTFF',0.04,0.24,0.09,2.13
T_DPP(b12_2_8x2)_T_BFF',0.06,0.15,0.10,0.57
T_DPP(b12_2_8x2)_T_BFFFF',0.05,0.17,0.07,0.80
T_DPP(a16x2)_T_BTZFF(b9_1_8)',0.06,0.17,0.07,0.65
T_DPP(b12_2_8x2)_T_TTF',0.06,0.22,0.12,1.35
T_DPP(b12_2_8x2)_T_TTFF',0.04,0.15,0.12,0.15
TIG(b12_2_8x2)_BTF',0.14,0.16,0.10,0.63
TIG(b12_2_8x2)_BTFF',0.13,0.15,0.08,0.63
AIG(b12_2_8x2)_BTF',0.08,0.20,0.09,1.17
AIG(b12_2_8x2)_BTF',0.07,0.30,0.09,2.77
IDTT(a16x4)_BT',0.10,0.13,0.08,0.52
IDTT(a16x4)_BO',0.11,0.17,0.07,1.03
IDTT(a16x4)_lBTF',0.10,0.11,0.08,0.36
IDTT(a16x4)_BTFF',0.09,0.15,0.06,1.03
IDTT(a16x4)_BPD(a1)',0.06,0.23,0.07,0.86
AIG(b12_2_8x2)_T',0.14,0.17,0.07,0.95
AIG(b12_2_8x2)_TFF',0.12,0.23,0.08,2.34
IG(b12_2_8x2)_T',0.10,0.18,0.11,0.78
IG(b12_2_8x2)_TFF',0.10,0.24,0.09,2.30
IG(b12_2_8x2)_BT,0.07,0.19,0.10,1.17
IG(b12_2_8x2)_BTF',0.06,0.18,0.06,1.21
IG(b12_2_8x2)_BTFF',0.05,0.23,0.07,2.40
IGF(b12_2_8x2)_DTP(a6)',0.10,0.22,0.09,1.89
AIG(b12_2_8x2)_DTP(a6)',0.11,0.19,0.06,1.85
TIG(b12_2_8x2)_DTP(a6',0.14,0.19,0.09,1.08
TIG(b12_2_8x2)_T',0.09,0.15,0.06,0.86
TIG(b12_2_8x2)_TFF',0.10,0.17,0.05,0.97
TIG(b12_2_8x2)_BT',0.09,0.13,0.06,0.90
TIG(b12_2_8x2)_BTF',0.09,0.13,0.09,0.62
TIG(b12_2_8x2)_BTFF',0.11,0.12,0.06,0.65
TTIG(b12_2_8x2)_DTP(a6',0.09,0.14,0.07,0.98
IGF(b12_2_8x2)_T',0.11,0.13,0.10,0.31
IGF(b12_2_8x2)_BT',0.03,0.12,0.07,0.50
IGF(b12_2_8x2)_TFF',0.11,0.19,0.09,1.60
IGF(b12_2_8x2)_BTF',0.02,0.14,0.09,0.51
IGF(b12_2_8x2)_BTFF',0.03,0.19,0.08,1.85
IGF(b12_2_8x2)_DTP(a6)',0.10,0.17,0.09,1.11
BDON(b22_4_18x2)_T',0.05,0.17,0.08,1.31
BDON(b22_4_18x2)_TFF',0.11,0.26,0.17,3.22
BDON(b22_4_18x2)_BT',0.07,0.14,0.06,1.18
BDON(b22_4_18x2)_BTF',0.05,0.17,0.06,1.42
BDON(b22_4_18x2)_BTFF',0.05,0.25,0.09,3.65
BDON(b22_4_18x2)_DTP(a6)',0.05,0.22,0.07,2.30
DPP(a16x2)_FU_FU',0.15,0.28,0.08,1.67
NDI(b14_2_10x2)_TVT',0.04,0.13,0.07,0.12
NDTI(b14_2_10x2)_BT',0.07,0.16,0.08,1.20
NDTI(b14_2_10x2)_T_T',0.06,0.15,0.06,1.26
AIG(b12_2_8x2)_FU',0.13,0.13,0.07,0.38
IG(b12_2_8x2)_FU',0.13,0.15,0.08,0.45
BNT_DPP(b12_2_8x2)_BNT_TFF',0.06,0.19,0.09,1.02
BN_DPP(b12_2_8x2)_BN_TFF',0.04,0.31,0.11,2.89
BN_DPP(b12_2_8x2)_BN_BTT',0.04,0.29,0.10,2.52
BN_DPP(b12_2_8x2)_BN_T_T',0.03,0.22,0.08,1.93
NDTI(b14_2_10x2)_T',0.10,0.14,0.06,0.95
NDTI(b14_2_10x2)_T_T_T',0.04,0.18,0.05,1.85
TTIG(b12_2_8x2)_FU',0.11,0.18,0.07,1.70
TIG(b12_2_8x2)_FU',0.17,0.24,0.07,1.43
FU_DPP(a18x2)_FU_BTZ_b9_1_8',0.09,0.15,0.09,0.48
DPP(b12_2_8x2)_FU',0.20,0.24,0.11,1.02
DPP(b12_2_8x2)_FU_FU',0.15,0.25,0.07,1.67
DPP(b12_2_8x2)FU_FU_FU',0.10,0.28,0.09,2.44
FU_DPP(b12_2_8x2)_FU_BTT',0.08,0.23,0.08,1.81
FU_DPP(b12_2_8x2)_FU_BFF',0.06,0.17,0.10,0.63
FU_DPP(b12_2_8x2)_FU_TVT',0.07,0.17,0.07,0.85
IGF(b12_2_8x2)_FU',0.12,0.17,0.07,0.97
NDI(b12_2_8x2)_FU_FU_FU',0.03,0.17,0.08,0.48
NDI(b12_2_8x2)_FU_FU',0.06,0.14,0.08,0.02
NDTI(b12_2_8x2)_FU_FU_FU',0.03,0.12,0.07,0.50
NDTI(b12_2_8x2)_FU_FU',0.05,0.12,0.06,0.02
NDTI(b12_2_8x2)_FU',0.05,0.23,0.13,1.45
