Polymer; set_alpha; set_beta; alpha_iso; alpha_embed; beta; sigma_alpha_iso; sigma_alpha_embed; sigma_beta; best_cost
DPPTT -4.98016828679518 0.13543540653681108 -5.18016828679518 -5.110168286795181 0.10428526303334448 0.07199999999999998 0.12960000000000013 0.022319999999999982 0.0192
DPPBTZ -4.854807566688055 0.12209897222035185 -5.044807566688054 -4.984807566688056 0.09584769319297617 0.089 0.17800000000000016 0.016909999999999974 0.0241
DPPDTT -4.908255574997359 0.10255157148663505 -5.118255574997358 -5.058255574997359 0.07845195218727578 0.07099999999999998 0.161525 0.03975999999999999 0.0144
TIGTFF -4.862642932662081 0.21325794102977813 -5.152642932662081 -5.142642932662081 0.15887716606718466 0.07099999999999998 0.161525 0.03691999999999999 0.0143
CPDTBFF -5.06204369038184 0.24879870978695448 -5.33204369038184 -5.36204369038184 0.17789107749767238 0.087 0.17400000000000015 0.05394000000000001 0.016
DPP1T -5.522463180556288 0.362400489241951 -5.482463180556293 -5.4924631805562925 0.2246883033300095 0.09 0.16200000000000023 0.03419999999999999 0.0248
DPP2T -5.13939450801844 0.21198731910983917 -5.269394508018441 -5.249394508018441 0.14945105997243657 0.07099999999999998 0.17572499999999996 0.03407999999999999 0.0232
DPP3T -4.934591477751633 0.12017931744201647 -5.144591477751632 -5.124591477751633 0.1015515232385039 0.07499999999999998 0.19312499999999994 0.029249999999999988 0.0196
IDTBT -4.812613846004952 0.15367156897096151 -5.022613846004951 -5.062613846004953 0.13907276991872017 0.08299999999999999 0.14317500000000022 0.022409999999999982 0.0093
TIGT -4.818048043802463 0.22281787060351177 -5.008048043802463 -4.9680480438024635 0.16154295618754597 0.08099999999999999 0.14985000000000018 0.04941 0.0214
TIGBT -4.932145133255084 0.21761902361235444 -5.112145133255083 -5.112145133255083 0.1664785530634511 0.07299999999999998 0.1478250000000001 0.03357999999999999 0.0209
AIGBT -3.206690657583845 0.1308255415648965 -3.2866906575838466 -3.276690657583847 0.09877328388149684 0.08299999999999999 0.17845000000000008 0.029049999999999986 0.0129
TIFBT -5.05078320518579 0.0823456705782413 -5.24078320518579 -5.280783205185789 0.07987530046089404 0.08099999999999999 0.12757500000000024 0.012149999999999973 0.012
DPPDPP -4.852047993342353 0.06785000804573624 -5.082047993342352 -4.922047993342355 0.06140425728139129 0.06999999999999998 0.14700000000000005 0.027999999999999987 0.0188
PNBT -3.5689168383969885 0.05529131462831144 -3.418916838396995 -3.4889168383969933 0.048379900299772495 0.087 0.13702500000000029 0.0017399999999999996 0.0202
NDITT -3.4035851789831293 0.08607314548418227 -3.4035851789831324 -3.423585178983132 0.05637791029213936 0.09 0.12600000000000033 0.008999999999999972 0.0162
NDIT -3.435250903881687 0.07902723035298509 -3.4252509038816905 -3.4752509038816894 0.040699023631787276 0.086 0.17630000000000012 0.07051999999999999 0.0119
NDITTT -3.383526867599991 0.03729531787193831 -3.393526867599994 -3.4135268675999937 0.03673588810385923 0.08499999999999999 0.15512500000000018 0.00595 0.0119
CPDTBT -4.882245091271384 0.2859219116464362 -5.162245091271385 -5.182245091271384 0.19871572859427306 0.06299999999999997 0.12915000000000004 0.06299999999999997 0.0286
F8BT -5.420965350605929 0.15456835026027343 -5.710965350605929 -5.720965350605929 0.1360201482290406 0.11300000000000002 0.24577500000000016 0.00226 0.0143
IDTBO -4.981201659318751 0.16293729225369352 -5.22120165931875 -5.261201659318751 0.14745824948959263 0.07699999999999999 0.15015000000000012 0.030799999999999987 0.0154
IDTBTF -4.873418689192864 0.1648133723949121 -5.073418689192863 -5.083418689192865 0.13597103222580245 0.06299999999999997 0.0913500000000002 0.046619999999999995 0.0098
IDTBTFF -4.915121863885727 0.15515450313804996 -5.145121863885725 -5.1651218638857275 0.12412360251043993 0.088 0.15620000000000023 0.014959999999999973 0.015
IDTBPD -5.005708942323445 0.11058695170903003 -5.185708942323445 -5.235708942323444 0.10008119129667217 0.101 0.15907500000000036 0.012119999999999968 0.0116
IDTBPDF -5.052103010643449 0.10821422881646486 -5.232103010643448 -5.282103010643447 0.0697981775866198 0.11300000000000002 0.15820000000000048 0.0 0.0109
IDTBPDFF -5.093860894373403 0.12915589223655183 -5.353860894373404 -5.393860894373403 0.0975126986385966 0.086 0.13975000000000026 0.012899999999999972 0.0145
TIFBTF -5.079563714016443 0.08361270306439174 -5.289563714016442 -5.2995637140164416 0.08528495712567953 0.07899999999999999 0.13825000000000018 0.008689999999999974 0.0113
TIFBTFF -5.127323871836412 0.08503382336076751 -5.3473238718364104 -5.36732387183641 0.08545899247757134 0.07399999999999998 0.1202500000000002 0.012579999999999975 0.0103
TIFBPD -5.191130040584435 0.06666686195359386 -5.351130040584435 -5.411130040584434 0.05833350420939462 0.08099999999999999 0.17212500000000008 0.00405 0.0135
TIFBPDF -5.226228007064038 0.059491350584652415 -5.386228007064038 -5.426228007064037 0.058004066820036095 0.07599999999999998 0.15960000000000008 0.015199999999999977 0.0174
TIFBPDFF -5.265177754877352 0.05345277194125994 -5.405177754877353 -5.435177754877352 0.03795146807829454 0.054999999999999966 0.09762500000000009 0.0005499999999999997 0.0166
TIFBO -5.177924221404695 0.08508342343759356 -5.377924221404695 -5.417924221404694 0.079127583796962 0.07699999999999999 0.15977500000000008 0.014629999999999976 0.0086
